Date,County,State,Vehicle Primary Use,Battery Electric Vehicles (BEVs),Plug-In Hybrid Electric Vehicles (PHEVs),Electric Vehicle (EV) Total,Non-Electric Vehicle Total,Total Vehicles,Percent Electric Vehicles
September 30 2017,Clark,NV,Passenger,1,2,3,768,771,0.39
September 30 2017,Dakota,MN,Passenger,0,2,2,36,38,5.26
September 30 2017,DeKalb,IN,Passenger,1,0,1,1,2,50
September 30 2017,Duval,FL,Passenger,1,1,2,363,365,0.55
September 30 2017,Fairfax,VA,Passenger,2,2,4,858,862,0.46
September 30 2017,Franklin,OH,Passenger,0,1,1,113,114,0.88
August 31 2017,Ramsey,MN,Passenger,1,0,1,35,36,2.78
August 31 2017,San Diego,CA,Passenger,6,1,7,2674,2681,0.26
August 31 2017,Sangamon,IL,Passenger,1,0,1,11,12,8.33
August 31 2017,Santa Rosa,FL,Passenger,1,0,1,109,110,0.91
August 31 2017,Skamania,WA,Passenger,10,7,17,8574,8591,0.2
August 31 2017,Skamania,WA,Truck,0,0,0,3875,3875,0
August 31 2017,St. Clair,IL,Passenger,0,1,1,169,170,0.59
August 31 2017,Tuolumne,CA,Passenger,0,1,1,13,14,7.14
August 31 2017,Volusia,FL,Passenger,0,1,1,46,47,2.13
August 31 2017,Walla Walla,WA,Passenger,27,27,54,34990,35044,0.15
September 30 2017,DeKalb,GA,Passenger,1,0,1,82,83,1.2
September 30 2017,El Paso,CO,Passenger,2,0,2,776,778,0.26
September 30 2017,Franklin,WA,Truck,0,0,0,18248,18248,0
September 30 2017,Garfield,WA,Truck,0,0,0,940,940,0
September 30 2017,Howard,MD,Passenger,0,2,2,88,90,2.22
September 30 2017,Lane,OR,Passenger,0,1,1,216,217,0.46
September 30 2017,Manatee,FL,Passenger,1,0,1,41,42,2.38
September 30 2017,Lee,AL,Passenger,1,0,1,34,35,2.86
September 30 2017,Mason,WA,Passenger,61,70,131,44178,44309,0.3
September 30 2017,Montgomery,TX,Passenger,1,0,1,59,60,1.67
September 30 2017,Multnomah,OR,Passenger,1,3,4,916,920,0.43
September 30 2017,Nassau,NY,Passenger,1,1,2,38,40,5
September 30 2017,Newport,RI,Passenger,1,0,1,116,117,0.85
September 30 2017,Okanogan,WA,Passenger,5,18,23,25689,25712,0.09
August 31 2017,DeKalb,IN,Passenger,1,0,1,1,2,50
August 31 2017,Essex,NJ,Passenger,1,0,1,12,13,7.69
August 31 2017,Franklin,WA,Truck,0,0,0,18234,18234,0
August 31 2017,Garfield,WA,Passenger,1,0,1,1302,1303,0.08
August 31 2017,Howard,MD,Passenger,0,2,2,89,91,2.2
August 31 2017,Island,WA,Truck,0,0,0,20515,20515,0
September 30 2017,Orleans,LA,Passenger,0,1,1,45,46,2.17
September 30 2017,Polk,FL,Passenger,1,0,1,63,64,1.56
September 30 2017,San Diego,CA,Passenger,6,1,7,2657,2664,0.26
September 30 2017,Sangamon,IL,Passenger,1,0,1,11,12,8.33
September 30 2017,Sedgwick,KS,Passenger,0,1,1,102,103,0.97
September 30 2017,Snohomish,WA,Truck,1,0,1,121533,121534,0
September 30 2017,Spokane,WA,Truck,1,0,1,91185,91186,0
September 30 2017,Thurston,WA,Passenger,435,363,798,188277,189075,0.42
September 30 2017,Tuolumne,CA,Passenger,0,1,1,14,15,6.67
June 30 2017,Carroll,NH,Passenger,0,1,1,1,2,50
June 30 2017,Columbia,WA,Truck,0,0,0,1531,1531,0
June 30 2017,Dale,AL,Passenger,0,1,1,63,64,1.56
May 31 2017,Kent,MI,Passenger,0,1,1,37,38,2.63
May 31 2017,Kitsap,WA,Truck,1,0,1,52383,52384,0
May 31 2017,Lewis,WA,Passenger,49,33,82,55368,55450,0.15
May 31 2017,Manassas,VA,Passenger,0,1,1,9,10,10
May 31 2017,Maricopa,AZ,Passenger,2,1,3,1755,1758,0.17
May 31 2017,Mason,WA,Passenger,51,63,114,43305,43419,0.26
September 30 2017,Wayne,MI,Passenger,0,1,1,68,69,1.45
October 31 2017,Asotin,WA,Truck,0,0,0,6526,6526,0
August 31 2017,Whitman,WA,Passenger,11,22,33,22132,22165,0.15
August 31 2017,Yakima,WA,Passenger,54,67,121,160163,160284,0.08
August 31 2017,Yakima,WA,Truck,0,0,0,57644,57644,0
September 30 2017,,,Passenger,3,0,3,444,447,0.67
September 30 2017,Benton,WA,Passenger,163,149,312,129272,129584,0.24
September 30 2017,Kitsap,WA,Passenger,653,348,1001,174336,175337,0.57
September 30 2017,Kitsap,WA,Truck,1,0,1,52605,52606,0
September 30 2017,Kittitas,WA,Truck,0,0,0,13656,13656,0
September 30 2017,Latah,ID,Passenger,0,1,1,89,90,1.11
August 31 2017,Kitsap,WA,Passenger,637,338,975,173858,174833,0.56
August 31 2017,Klickitat,WA,Truck,0,0,0,7972,7972,0
August 31 2017,Latah,ID,Passenger,0,1,1,90,91,1.1
August 31 2017,Lincoln,WA,Truck,0,0,0,4457,4457,0
August 31 2017,Marin,CA,Passenger,1,0,1,58,59,1.69
September 30 2017,Spokane,WA,Passenger,276,229,505,298181,298686,0.17
September 30 2017,Stevens,WA,Passenger,8,22,30,31548,31578,0.1
September 30 2017,Whatcom,WA,Truck,2,0,2,41842,41844,0
September 30 2017,Pend Oreille,WA,Truck,0,0,0,5549,5549,0
September 30 2017,Pierce,WA,Passenger,1012,898,1910,525241,527151,0.36
September 30 2017,Portsmouth,VA,Passenger,0,1,1,62,63,1.59
September 30 2017,Ramsey,MN,Passenger,1,0,1,36,37,2.7
September 30 2017,Santa Rosa,FL,Passenger,1,0,1,108,109,0.92
September 30 2017,Saratoga,NY,Passenger,1,1,2,72,74,2.7
September 30 2017,Skagit,WA,Passenger,148,120,268,88653,88921,0.3
September 30 2017,Skamania,WA,Truck,0,0,0,3877,3877,0
September 30 2017,Tulare,CA,Passenger,1,0,1,197,198,0.51
September 30 2017,Twin Falls,ID,Passenger,0,1,1,22,23,4.35
October 31 2017,Columbia,WA,Truck,0,0,0,1542,1542,0
October 31 2017,Dallas,TX,Passenger,0,1,1,182,183,0.55
October 31 2017,Franklin,WA,Truck,0,0,0,18324,18324,0
October 31 2017,Grays Harbor,WA,Truck,0,0,0,20006,20006,0
May 31 2017,Muscogee,GA,Passenger,0,1,1,247,248,0.4
May 31 2017,Nantucket,MA,Passenger,1,0,1,3,4,25
May 31 2017,Newport,RI,Passenger,1,0,1,119,120,0.83
May 31 2017,Norfolk,VA,Passenger,1,1,2,309,311,0.64
May 31 2017,Northampton,PA,Passenger,1,0,1,169,170,0.59
May 31 2017,Nueces,TX,Passenger,0,1,1,98,99,1.01
May 31 2017,Orange,FL,Passenger,1,1,2,143,145,1.38
June 30 2017,Grays Harbor,WA,Truck,0,0,0,19889,19889,0
June 30 2017,Jefferson,WA,Passenger,104,61,165,23854,24019,0.69
September 30 2017,Columbia,WA,Truck,0,0,0,1557,1557,0
September 30 2017,Cowlitz,WA,Truck,0,0,0,28047,28047,0
September 30 2017,Dale,AL,Passenger,0,1,1,62,63,1.59
September 30 2017,Deschutes,OR,Passenger,1,0,1,189,190,0.53
September 30 2017,Douglas,WA,Truck,0,0,0,11594,11594,0
September 30 2017,El Paso,TX,Passenger,1,0,1,552,553,0.18
September 30 2017,Gwinnett,GA,Passenger,0,1,1,87,88,1.14
August 31 2017,New London,CT,Passenger,1,1,2,254,256,0.78
August 31 2017,Okaloosa,FL,Passenger,1,0,1,183,184,0.54
August 31 2017,Orange,CA,Passenger,3,1,4,610,614,0.65
August 31 2017,Pierce,WA,Truck,0,0,0,137246,137246,0
August 31 2017,Polk,FL,Passenger,1,0,1,65,66,1.52
August 31 2017,Richmond,GA,Passenger,0,1,1,91,92,1.09
August 31 2017,Riverside,CA,Passenger,0,2,2,763,765,0.26
August 31 2017,San Juan,WA,Truck,0,0,0,5552,5552,0
August 31 2017,San Mateo,CA,Passenger,0,1,1,149,150,0.67
August 31 2017,Santa Fe,NM,Passenger,0,1,1,43,44,2.27
October 31 2017,Asotin,WA,Passenger,7,5,12,12482,12494,0.1
October 31 2017,Chelan,WA,Passenger,77,36,113,52718,52831,0.21
October 31 2017,Clark,WA,Truck,0,0,0,78125,78125,0
October 31 2017,Hamilton,IN,Passenger,1,0,1,58,59,1.69
October 31 2017,Kittitas,WA,Truck,0,0,0,13694,13694,0
October 31 2017,Latah,ID,Passenger,0,1,1,82,83,1.2
September 30 2017,New London,CT,Passenger,1,1,2,250,252,0.79
September 30 2017,Orange,CA,Passenger,3,1,4,607,611,0.65
September 30 2017,Orange,FL,Passenger,1,1,2,143,145,1.38
September 30 2017,Richland,SC,Passenger,0,1,1,185,186,0.54
September 30 2017,Riverside,CA,Passenger,0,2,2,745,747,0.27
September 30 2017,San Juan,WA,Truck,0,0,0,5562,5562,0
September 30 2017,Santa Fe,NM,Passenger,0,1,1,42,43,2.33
September 30 2017,Volusia,FL,Passenger,0,1,1,43,44,2.27
September 30 2017,Wahkiakum,WA,Truck,0,0,0,1667,1667,0
September 30 2017,Walla Walla,WA,Truck,0,0,0,13243,13243,0
September 30 2017,Yakima,WA,Passenger,57,69,126,160632,160758,0.08
October 31 2017,,,Passenger,3,0,3,446,449,0.67
October 31 2017,Bexar,TX,Passenger,1,1,2,818,820,0.24
October 31 2017,El Paso,CO,Passenger,2,0,2,771,773,0.26
October 31 2017,Franklin,MA,Passenger,0,1,1,4,5,20
October 31 2017,Grant,WA,Truck,0,0,0,25459,25459,0
October 31 2017,Hardin,KY,Passenger,0,1,1,117,118,0.85
October 31 2017,Montgomery,TX,Passenger,1,0,1,59,60,1.67
October 31 2017,New London,CT,Passenger,1,1,2,249,251,0.8
October 31 2017,Okaloosa,FL,Passenger,1,0,1,185,186,0.54
October 31 2017,Orange,FL,Passenger,1,1,2,144,146,1.37
October 31 2017,Pacific,WA,Truck,0,0,0,7520,7520,0
October 31 2017,Pend Oreille,WA,Truck,0,0,0,5559,5559,0
October 31 2017,Portsmouth,VA,Passenger,0,1,1,61,62,1.61
October 31 2017,Ramsey,MN,Passenger,1,0,1,36,37,2.7
September 30 2017,Island,WA,Truck,0,0,0,20560,20560,0
September 30 2017,Jefferson,WA,Passenger,114,65,179,24016,24195,0.74
September 30 2017,Klickitat,WA,Truck,0,0,0,7990,7990,0
September 30 2017,Lumpkin,GA,Passenger,1,0,1,9,10,10
September 30 2017,Madison,ID,Passenger,1,0,1,37,38,2.63
September 30 2017,Sumter,FL,Passenger,0,1,1,10,11,9.09
September 30 2017,Thurston,WA,Truck,0,0,0,53503,53503,0
September 30 2017,Whitman,WA,Truck,0,0,0,8430,8430,0
August 31 2017,Skagit,WA,Truck,1,0,1,31522,31523,0
August 31 2017,St. Lucie,FL,Passenger,1,0,1,28,29,3.45
August 31 2017,Sumter,FL,Passenger,0,1,1,10,11,9.09
August 31 2017,Tarrant,TX,Passenger,1,0,1,233,234,0.43
August 31 2017,Thurston,WA,Truck,0,0,0,53433,53433,0
August 31 2017,Whatcom,WA,Truck,2,0,2,41769,41771,0
October 31 2017,Juneau,AK,Passenger,0,1,1,45,46,2.17
October 31 2017,King,WA,Truck,7,1,8,185888,185896,0
October 31 2017,Clallam,WA,Truck,0,0,0,21146,21146,0
October 31 2017,Contra Costa,CA,Passenger,0,1,1,500,501,0.2
October 31 2017,Deschutes,OR,Passenger,1,0,1,181,182,0.55
October 31 2017,Douglas,WA,Passenger,36,32,68,26965,27033,0.25
June 30 2017,Klickitat,WA,Truck,0,0,0,7973,7973,0
June 30 2017,Missoula,MT,Passenger,1,0,1,70,71,1.41
June 30 2017,Moore,NC,Passenger,0,1,1,197,198,0.51
October 31 2017,San Juan,WA,Truck,0,0,0,5572,5572,0
October 31 2017,Santa Fe,NM,Passenger,0,1,1,41,42,2.38
October 31 2017,Santa Rosa,FL,Passenger,1,0,1,107,108,0.93
October 31 2017,Skagit,WA,Passenger,151,126,277,88968,89245,0.31
October 31 2017,Ventura,CA,Passenger,0,1,1,337,338,0.3
October 31 2017,Volusia,FL,Passenger,0,1,1,40,41,2.44
October 31 2017,Allegheny,PA,Passenger,1,0,1,87,88,1.14
October 31 2017,Benton,WA,Passenger,164,154,318,129417,129735,0.25
October 31 2017,Carroll,NH,Passenger,0,1,1,1,2,50
October 31 2017,Columbia,WA,Passenger,1,1,2,2393,2395,0.08
September 30 2017,Arlington,VA,Passenger,1,2,3,162,165,1.82
September 30 2017,Clark,WA,Passenger,810,543,1353,301424,302777,0.45
September 30 2017,Cobb,GA,Passenger,0,1,1,65,66,1.52
May 31 2017,Snohomish,WA,Passenger,1738,868,2606,512678,515284,0.51
May 31 2017,Tulare,CA,Passenger,1,0,1,192,193,0.52
May 31 2017,Wahkiakum,WA,Passenger,0,2,2,2837,2839,0.07
May 31 2017,Wayne,MI,Passenger,0,1,1,69,70,1.43
October 31 2017,New Haven,CT,Passenger,0,1,1,52,53,1.89
October 31 2017,Skamania,WA,Passenger,10,7,17,8572,8589,0.2
October 31 2017,Spokane,WA,Passenger,286,238,524,298938,299462,0.17
October 31 2017,St. Clair,IL,Passenger,0,1,1,161,162,0.62
October 31 2017,Frederick,MD,Passenger,0,1,1,84,85,1.18
October 31 2017,Garfield,WA,Passenger,1,0,1,1315,1316,0.08
October 31 2017,Grant,WA,Passenger,20,33,53,61682,61735,0.09
September 30 2017,Missoula,MT,Passenger,1,0,1,68,69,1.45
September 30 2017,Okaloosa,FL,Passenger,1,0,1,185,186,0.54
September 30 2017,Pacific,WA,Passenger,12,9,21,15263,15284,0.14
September 30 2017,Pacific,WA,Truck,0,0,0,7514,7514,0
September 30 2017,Palm Beach,FL,Passenger,0,1,1,92,93,1.08
September 30 2017,Pierce,WA,Truck,0,0,0,137090,137090,0
September 30 2017,Pinal,AZ,Passenger,2,0,2,216,218,0.92
September 30 2017,Prince William,VA,Passenger,0,3,3,265,268,1.12
September 30 2017,Richmond,GA,Passenger,0,1,1,93,94,1.06
September 30 2017,San Mateo,CA,Passenger,0,1,1,146,147,0.68
September 30 2017,District of Columbia,DC,Passenger,0,2,2,202,204,0.98
September 30 2017,Ferry,WA,Passenger,1,1,2,4381,4383,0.05
September 30 2017,Fulton,GA,Passenger,1,0,1,108,109,0.92
September 30 2017,Grant,WA,Truck,0,0,0,25426,25426,0
September 30 2017,Hardin,KY,Passenger,0,1,1,116,117,0.85
October 31 2017,Yakima,WA,Passenger,57,72,129,161021,161150,0.08
November 30 2017,Adams,WA,Passenger,3,5,8,12359,12367,0.06
November 30 2017,Cape May,NJ,Passenger,0,1,1,21,22,4.55
October 31 2017,Manassas,VA,Passenger,0,1,1,9,10,10
October 31 2017,Marin,CA,Passenger,1,0,1,58,59,1.69
October 31 2017,Maui,HI,Passenger,1,0,1,69,70,1.43
October 31 2017,Montgomery,MD,Passenger,1,0,1,305,306,0.33
October 31 2017,Montgomery,TN,Passenger,1,0,1,276,277,0.36
June 30 2017,Bexar,TX,Passenger,1,1,2,934,936,0.21
October 31 2017,Cowlitz,WA,Truck,0,0,0,28119,28119,0
October 31 2017,Dakota,MN,Passenger,0,2,2,38,40,5
October 31 2017,Fulton,GA,Passenger,1,0,1,107,108,0.93
October 31 2017,Grays Harbor,WA,Passenger,38,41,79,45366,45445,0.17
October 31 2017,Walla Walla,WA,Passenger,28,28,56,35156,35212,0.16
October 31 2017,Whitman,WA,Truck,0,0,0,8442,8442,0
November 30 2017,Anne Arundel,MD,Passenger,0,1,1,487,488,0.2
November 30 2017,Brevard,FL,Passenger,0,1,1,103,104,0.96
September 30 2017,Juneau,AK,Passenger,0,1,1,45,46,2.17
September 30 2017,Kent,MI,Passenger,0,1,1,38,39,2.56
September 30 2017,Lewis,WA,Passenger,53,38,91,56030,56121,0.16
September 30 2017,Skagit,WA,Truck,1,0,1,31557,31558,0
September 30 2017,St. Lucie,FL,Passenger,1,0,1,27,28,3.57
September 30 2017,Stevens,WA,Truck,0,0,0,18249,18249,0
September 30 2017,Tarrant,TX,Passenger,1,0,1,235,236,0.42
September 30 2017,Utah,UT,Passenger,0,1,1,143,144,0.69
September 30 2017,Morris,NJ,Passenger,1,0,1,22,23,4.35
September 30 2017,Nantucket,MA,Passenger,1,0,1,3,4,25
September 30 2017,New Haven,CT,Passenger,0,1,1,54,55,1.82
September 30 2017,Norfolk,MA,Passenger,1,0,1,36,37,2.7
September 30 2017,Norfolk,VA,Passenger,1,1,2,317,319,0.63
September 30 2017,Northampton,PA,Passenger,0,1,1,83,84,1.19
September 30 2017,Nueces,TX,Passenger,0,1,1,93,94,1.06
October 31 2017,Okanogan,WA,Truck,0,0,0,16250,16250,0
October 31 2017,Prince George's,MD,Passenger,0,1,1,183,184,0.54
October 31 2017,San Diego,CA,Passenger,5,1,6,2629,2635,0.23
October 31 2017,Canyon,ID,Passenger,0,1,1,90,91,1.1
June 30 2017,DeKalb,GA,Passenger,1,0,1,84,85,1.18
June 30 2017,El Paso,CO,Passenger,2,1,3,806,809,0.37
June 30 2017,Okaloosa,FL,Passenger,1,0,1,181,182,0.55
June 30 2017,Pacific,WA,Passenger,10,7,17,15143,15160,0.11
June 30 2017,Pacific,WA,Truck,0,0,0,7470,7470,0
June 30 2017,Pend Oreille,WA,Passenger,3,4,7,9317,9324,0.08
June 30 2017,Pima,AZ,Passenger,1,2,3,428,431,0.7
June 30 2017,San Mateo,CA,Passenger,0,1,1,151,152,0.66
June 30 2017,Skamania,WA,Passenger,9,7,16,8569,8585,0.19
June 30 2017,St. Lucie,FL,Passenger,1,0,1,33,34,2.94
November 30 2017,Chelan,WA,Truck,0,0,0,21520,21520,0
November 30 2017,Columbia,WA,Passenger,2,1,3,2391,2394,0.13
November 30 2017,El Paso,TX,Passenger,1,0,1,531,532,0.19
November 30 2017,Franklin,WA,Passenger,31,48,79,56684,56763,0.14
November 30 2017,Clark,WA,Passenger,840,559,1399,303208,304607,0.46
November 30 2017,Columbia,WA,Truck,0,0,0,1537,1537,0
November 30 2017,DeKalb,GA,Passenger,1,0,1,83,84,1.19
November 30 2017,District of Columbia,DC,Passenger,0,3,3,204,207,1.45
November 30 2017,Ferry,WA,Passenger,1,3,4,4409,4413,0.09
November 30 2017,Franklin,OH,Passenger,0,1,1,110,111,0.9
November 30 2017,Grays Harbor,WA,Truck,0,0,0,20017,20017,0
October 31 2017,DeKalb,GA,Passenger,1,0,1,83,84,1.19
October 31 2017,Ferry,WA,Passenger,1,1,2,4397,4399,0.05
October 31 2017,Garfield,WA,Truck,0,0,0,943,943,0
October 31 2017,Tarrant,TX,Passenger,1,0,1,228,229,0.44
October 31 2017,Thurston,WA,Passenger,442,371,813,188899,189712,0.43
October 31 2017,Wayne,MI,Passenger,0,1,1,69,70,1.43
November 30 2017,Albemarle,VA,Passenger,0,1,1,32,33,3.03
November 30 2017,Benton,WA,Passenger,165,159,324,129893,130217,0.25
November 30 2017,Gwinnett,GA,Passenger,0,1,1,86,87,1.15
November 30 2017,Hamilton,TN,Passenger,1,0,1,20,21,4.76
November 30 2017,Honolulu,HI,Passenger,2,1,3,559,562,0.53
October 31 2017,Island,WA,Truck,0,0,0,20593,20593,0
October 31 2017,Jefferson,NY,Passenger,1,0,1,241,242,0.41
October 31 2017,Klickitat,WA,Passenger,22,27,49,14804,14853,0.33
October 31 2017,Lewis,WA,Truck,0,0,0,25212,25212,0
October 31 2017,Los Angeles,CA,Passenger,5,2,7,1225,1232,0.57
October 31 2017,Manatee,FL,Passenger,1,0,1,41,42,2.38
October 31 2017,Maricopa,AZ,Passenger,2,1,3,1591,1594,0.19
October 31 2017,Mason,WA,Truck,0,0,0,19472,19472,0
October 31 2017,Monterey,CA,Passenger,0,2,2,197,199,1.01
June 30 2017,Utah,UT,Passenger,0,1,1,153,154,0.65
June 30 2017,Whatcom,WA,Passenger,464,175,639,143078,143717,0.44
July 31 2017,Albemarle,VA,Passenger,0,1,1,32,33,3.03
July 31 2017,Anne Arundel,MD,Passenger,0,1,1,500,501,0.2
July 31 2017,Bergen,NJ,Passenger,0,2,2,30,32,6.25
September 30 2017,Sacramento,CA,Passenger,1,0,1,330,331,0.3
September 30 2017,Snohomish,WA,Passenger,1910,977,2887,514423,517310,0.56
September 30 2017,St. Clair,IL,Passenger,0,1,1,166,167,0.6
September 30 2017,Travis,TX,Passenger,0,1,1,189,190,0.53
September 30 2017,Wahkiakum,WA,Passenger,0,2,2,2836,2838,0.07
September 30 2017,Walla Walla,WA,Passenger,27,28,55,35045,35100,0.16
November 30 2017,Cowlitz,WA,Truck,0,0,0,28151,28151,0
November 30 2017,Dakota,MN,Passenger,0,2,2,37,39,5.13
November 30 2017,DeKalb,IN,Passenger,1,0,1,1,2,50
November 30 2017,Essex,NJ,Passenger,1,0,1,9,10,10
November 30 2017,Howard,MD,Passenger,0,2,2,90,92,2.17
November 30 2017,Kitsap,WA,Passenger,676,369,1045,175410,176455,0.59
November 30 2017,Kittitas,WA,Truck,0,0,0,13760,13760,0
November 30 2017,Klickitat,WA,Truck,0,0,0,8004,8004,0
July 31 2017,DeKalb,IN,Passenger,1,0,1,1,2,50
November 30 2017,Madison,ID,Passenger,1,0,1,39,40,2.5
November 30 2017,Pacific,WA,Passenger,15,11,26,15335,15361,0.17
October 31 2017,King,WA,Passenger,10942,4488,15430,1372419,1387849,1.11
October 31 2017,Kittitas,WA,Passenger,33,23,56,28117,28173,0.2
October 31 2017,Lee,AL,Passenger,1,0,1,35,36,2.78
October 31 2017,Lincoln,WA,Passenger,2,5,7,7577,7584,0.09
June 30 2017,Garfield,WA,Truck,0,0,0,940,940,0
June 30 2017,Jackson,MO,Passenger,1,0,1,59,60,1.67
June 30 2017,King,WA,Passenger,10029,4110,14139,1375578,1389717,1.02
June 30 2017,King,WA,Truck,8,1,9,187768,187777,0
June 30 2017,Kittitas,WA,Truck,0,0,0,13560,13560,0
June 30 2017,Lee,AL,Passenger,1,0,1,36,37,2.7
June 30 2017,Lincoln,WA,Passenger,2,5,7,7528,7535,0.09
July 31 2017,Essex,NJ,Passenger,1,0,1,13,14,7.14
July 31 2017,Garfield,WA,Truck,0,0,0,926,926,0
July 31 2017,Honolulu,HI,Passenger,3,1,4,573,577,0.69
June 30 2017,Montgomery,PA,Passenger,1,0,1,40,41,2.44
June 30 2017,Montgomery,TN,Passenger,1,0,1,286,287,0.35
June 30 2017,Okanogan,WA,Truck,0,0,0,16207,16207,0
September 30 2017,Whitman,WA,Passenger,12,22,34,22198,22232,0.15
September 30 2017,Yakima,WA,Truck,0,0,0,57708,57708,0
October 31 2017,Adams,WA,Truck,0,0,0,5134,5134,0
October 31 2017,Alameda,CA,Passenger,0,1,1,351,352,0.28
October 31 2017,Arlington,VA,Passenger,1,2,3,167,170,1.76
November 30 2017,Fulton,GA,Passenger,1,0,1,106,107,0.93
November 30 2017,Garfield,WA,Passenger,1,0,1,1313,1314,0.08
November 30 2017,Island,WA,Truck,0,0,0,20692,20692,0
November 30 2017,Jefferson,NY,Passenger,1,0,1,235,236,0.42
November 30 2017,King,WA,Passenger,11131,4619,15750,1371758,1387508,1.14
October 31 2017,Morris,NJ,Passenger,1,0,1,22,23,4.35
October 31 2017,Norfolk,VA,Passenger,1,1,2,312,314,0.64
October 31 2017,Pacific,WA,Passenger,14,10,24,15323,15347,0.16
October 31 2017,Pend Oreille,WA,Passenger,3,4,7,9370,9377,0.07
October 31 2017,Pierce,WA,Truck,0,0,0,137026,137026,0
October 31 2017,Richmond,GA,Passenger,0,1,1,93,94,1.06
November 30 2017,Moore,NC,Passenger,0,1,1,200,201,0.5
November 30 2017,New London,CT,Passenger,1,1,2,251,253,0.79
November 30 2017,Norfolk,MA,Passenger,1,0,1,35,36,2.78
November 30 2017,Orange,CA,Passenger,3,1,4,586,590,0.68
November 30 2017,Pima,AZ,Passenger,1,1,2,411,413,0.48
November 30 2017,Polk,FL,Passenger,1,0,1,63,64,1.56
November 30 2017,Riverside,CA,Passenger,0,2,2,740,742,0.27
November 30 2017,Sacramento,CA,Passenger,1,0,1,315,316,0.32
November 30 2017,San Mateo,CA,Passenger,0,1,1,146,147,0.68
October 31 2017,Montgomery,PA,Passenger,1,0,1,38,39,2.56
October 31 2017,Multnomah,OR,Passenger,1,3,4,903,907,0.44
October 31 2017,Nassau,NY,Passenger,1,1,2,37,39,5.13
October 31 2017,Norfolk,MA,Passenger,1,0,1,35,36,2.78
October 31 2017,Okanogan,WA,Passenger,5,17,22,25712,25734,0.09
October 31 2017,Queens,NY,Passenger,1,0,1,63,64,1.56
October 31 2017,Sacramento,CA,Passenger,1,0,1,321,322,0.31
November 30 2017,Richland,SC,Passenger,0,1,1,178,179,0.56
November 30 2017,San Juan,WA,Passenger,126,41,167,13786,13953,1.2
November 30 2017,Sedgwick,KS,Passenger,0,1,1,104,105,0.95
November 30 2017,Spokane,WA,Truck,1,0,1,91437,91438,0
November 30 2017,Stevens,WA,Truck,0,0,0,18329,18329,0
November 30 2017,Utah,UT,Passenger,0,1,1,134,135,0.74
July 31 2017,Jefferson,WA,Truck,0,0,0,9414,9414,0
July 31 2017,King,WA,Passenger,10256,4179,14435,1373521,1387956,1.04
July 31 2017,Lee,AL,Passenger,1,0,1,36,37,2.7
July 31 2017,Lincoln,WA,Truck,0,0,0,4445,4445,0
July 31 2017,Multnomah,OR,Passenger,1,3,4,946,950,0.42
November 30 2017,Lincoln,WA,Truck,0,0,0,4484,4484,0
November 30 2017,Manatee,FL,Passenger,1,0,1,39,40,2.5
November 30 2017,Mason,WA,Truck,0,0,0,19541,19541,0
November 30 2017,Monterey,CA,Passenger,0,2,2,200,202,0.99
November 30 2017,Montgomery,TN,Passenger,1,0,1,275,276,0.36
November 30 2017,Morris,NJ,Passenger,1,0,1,22,23,4.35
October 31 2017,Charles,MD,Passenger,0,1,1,82,83,1.2
October 31 2017,Clark,NV,Passenger,1,2,3,761,764,0.39
October 31 2017,Clay,FL,Passenger,0,1,1,113,114,0.88
October 31 2017,Dale,AL,Passenger,0,1,1,60,61,1.64
October 31 2017,Douglas,WA,Truck,0,0,0,11659,11659,0
October 31 2017,Duval,FL,Passenger,1,1,2,364,366,0.55
October 31 2017,Gwinnett,GA,Passenger,0,1,1,88,89,1.12
June 30 2017,Santa Clara,CA,Passenger,5,2,7,399,406,1.72
June 30 2017,Shelby,TN,Passenger,0,1,1,110,111,0.9
June 30 2017,Ventura,CA,Passenger,0,1,1,358,359,0.28
June 30 2017,Virginia Beach,VA,Passenger,2,1,3,656,659,0.46
December 31 2017,Canyon,ID,Passenger,0,1,1,89,90,1.11
December 31 2017,Chelan,WA,Truck,0,0,0,21618,21618,0
November 30 2017,St. Lucie,FL,Passenger,1,0,1,26,27,3.7
November 30 2017,Stevens,WA,Passenger,10,21,31,31553,31584,0.1
November 30 2017,Sumter,FL,Passenger,0,1,1,10,11,9.09
November 30 2017,Thurston,WA,Truck,0,0,0,53688,53688,0
November 30 2017,Travis,TX,Passenger,0,1,1,184,185,0.54
November 30 2017,Ventura,CA,Passenger,0,1,1,329,330,0.3
November 30 2017,Whitman,WA,Passenger,16,19,35,22393,22428,0.16
December 31 2017,Ada,ID,Passenger,0,1,1,347,348,0.29
July 31 2017,Nassau,NY,Passenger,1,1,2,38,40,5
July 31 2017,Okanogan,WA,Passenger,4,18,22,25637,25659,0.09
July 31 2017,Shelby,TN,Passenger,0,1,1,110,111,0.9
June 30 2017,Whitman,WA,Truck,0,0,0,8430,8430,0
July 31 2017,Allegheny,PA,Passenger,1,0,1,86,87,1.15
July 31 2017,Benton,WA,Truck,0,0,0,40131,40131,0
July 31 2017,Carroll,NH,Passenger,0,1,1,1,2,50
November 30 2017,Pierce,WA,Truck,0,0,0,137033,137033,0
November 30 2017,Richmond,GA,Passenger,0,1,1,94,95,1.05
November 30 2017,Shelby,TN,Passenger,0,1,1,105,106,0.94
November 30 2017,Skagit,WA,Truck,1,0,1,31695,31696,0
